รหัสจังหวัด,จังหวัด,เขต,หมายเลข,พรรค,คะแนน
10.0,กรุงเทพมหานคร,1.0,1.0,ไทยทรัพย์ทวี,66.0
10.0,กรุงเทพมหานคร,1.0,2.0,เพื่อชาติไทย,130.0
10.0,กรุงเทพมหานคร,1.0,3.0,ใหม่,37.0
10.0,กรุงเทพมหานคร,1.0,4.0,มิติใหม่,35.0
10.0,กรุงเทพมหานคร,1.0,5.0,รวมใจไทย,226.0
10.0,กรุงเทพมหานคร,1.0,6.0,รวมไทยสร้างชาติ,1857.0
10.0,กรุงเทพมหานคร,1.0,7.0,พลวัต,103.0
10.0,กรุงเทพมหานคร,1.0,8.0,ประชาธิปไตยใหม่,323.0
10.0,กรุงเทพมหานคร,1.0,9.0,เพื่อไทย,6398.0
10.0,กรุงเทพมหานคร,1.0,10.0,ทางเลือกใหม่,300.0
10.0,กรุงเทพมหานคร,1.0,11.0,เศรษฐกิจ,1292.0
10.0,กรุงเทพมหานคร,1.0,12.0,เสรีรวมไทย,374.0
10.0,กรุงเทพมหานคร,1.0,13.0,รวมพลังประชาชาติ,160.0
10.0,กรุงเทพมหานคร,1.0,14.0,ท้องที่ไทย,7.0
10.0,กรุงเทพมหานคร,1.0,15.0,อนาคตไทย,29.0
10.0,กรุงเทพมหานคร,1.0,16.0,พลังเพื่อไทย,47.0
10.0,กรุงเทพมหานคร,1.0,17.0,ไทยชนะ,47.0
10.0,กรุงเทพมหานคร,1.0,18.0,พลังสังคมใหม่,10.0
10.0,กรุงเทพมหานคร,1.0,19.0,สังคมประชาธิปไตย,8.0
10.0,กรุงเทพมหานคร,1.0,20.0,ฟิวชั่น,17.0
10.0,กรุงเทพมหานคร,1.0,21.0,ไทยรวมพลัง,22.0
10.0,กรุงเทพมหานคร,1.0,22.0,ก้าวอิสระ,8.0
10.0,กรุงเทพมหานคร,1.0,23.0,ปวงชนไทย,43.0
10.0,กรุงเทพมหานคร,1.0,24.0,วิชั่นใหม่,14.0
10.0,กรุงเทพมหานคร,1.0,25.0,เพื่อชีวิตใหม่,7.0
10.0,กรุงเทพมหานคร,1.0,26.0,คลองไทย,39.0
10.0,กรุงเทพมหานคร,1.0,27.0,ประชาธิปัตย์,11795.0
10.0,กรุงเทพมหานคร,1.0,28.0,ไทยก้าวหน้า,45.0
